Course,CourseTitle,CRN,CourseDates,CourseDays,CourseTimes,Room,CreditHours,Enrolled,AvailableSeats,MaxSeats,ScheduleType,InstructionalMethod,Campus,Instructor,Comments,LACCategory,CourseMaterialType,CourseMaterialCost
SPSY779-020,Prac in School Psychology,22879,01/09/2023 05/07/2023,W,4:30pm-7:30pm,McKee 0253,3-Jan,0,15,15,Practicum/Clinical,Internship/Practica,Main Campus,Jennifer Buser,"MF, Synchronous Online, & Asynchronous Online - This course meets M on-campus & online. Some online meetings will be virtual, meeting M at time indicated on schedule, & some will be asynchronous (no specified time). Support available at www.unco.edu/Canvas.",,,
SPSY781-001,Eval of Psych Services,24408,01/09/2023 05/07/2023,W,1:00pm-4:00pm,McKee 0229,3,0,25,25,Lecture,Face to Face,Main Campus,Jacqueline Anderson,,,,
SPSY797-072,Doctoral Proposal Research,22723,01/09/2023 05/07/2023,TBA,TBA,TBA,4-Jan,0,0,0,Research/Directed Studies,Directed Study,Main Campus,Jacqueline Anderson,,,,
SPSY797-074,Doctoral Proposal Research,22944,01/09/2023 05/07/2023,TBA,TBA,TBA,4-Jan,0,0,0,Research/Directed Studies,Directed Study,Main Campus,Michelle Athanasiou,,,,
SPSY797-075,Doctoral Proposal Research,22945,01/09/2023 05/07/2023,TBA,TBA,TBA,4-Jan,0,0,0,Research/Directed Studies,Directed Study,Main Campus,David Hulac,,,,
SPSY797-076,Doctoral Proposal Research,22946,01/09/2023 05/07/2023,TBA,TBA,TBA,4-Jan,0,0,0,Research/Directed Studies,Directed Study,Main Campus,Stephanie Kriescher,,,,
SPSY799-070,Doctoral Dissertation,22724,01/09/2023 05/07/2023,TBA,TBA,TBA,12-Jan,0,0,0,Dissertation/Thesis,Directed Study,Main Campus,Jacqueline Anderson,,,,
SPSY799-072,Doctoral Dissertation,22948,01/09/2023 05/07/2023,TBA,TBA,TBA,12-Jan,0,0,0,Dissertation/Thesis,Directed Study,Main Campus,Michelle Athanasiou,,,,
SPSY799-073,Doctoral Dissertation,22949,01/09/2023 05/07/2023,TBA,TBA,TBA,12-Jan,0,0,0,Dissertation/Thesis,Directed Study,Main Campus,David Hulac,,,,
SPSY799-074,Doctoral Dissertation,22950,01/09/2023 05/07/2023,TBA,TBA,TBA,12-Jan,0,0,0,Dissertation/Thesis,Directed Study,Main Campus,Stephanie Kriescher,,,,
SRM531-001,Research & Stat Consulting I,22650,01/09/2023 02/12/2023,M W,12:00pm-1:15pm,TBA,1,0,20,20,Lecture,Face to Face,Main Campus,William Merchant,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
SRM552-003,Math Stat with Appl II,22651,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,TBA,4,0,20,20,Lecture,Face to Face,Main Campus,Han Yu,,,,
SRM600-970,Introductn Grad Research,22233,01/09/2023 05/07/2023,T,3:30pm-6:30pm,McKee 0140,3,0,20,20,Lecture,Face to Face,Main Campus,Daniel Mundfrom,,,,
SRM602-010,Statistical Methods I,22234,01/09/2023 05/07/2023,M,3:30pm-6:30pm,McKee 0140,3,0,20,20,Lecture,Face to Face,Main Campus,Han Yu,Asynchronous Online - Support available at www.unco.edu/Canvas.,,,
SRM603-008,Statistical Methods II,22236,01/09/2023 05/07/2023,T R,3:30pm-6:30pm,TBA,3,0,20,20,Lecture,Face to Face,Main Campus,Sheima A M A S Alameeri,,,,
SRM610-006,Statistical Methods III,22239,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0141,3,0,20,20,Lecture,Face to Face,Main Campus,Han Yu,,,,
SRM611-010,Adv Stat Data Analysis,22240,01/09/2023 05/07/2023,W,3:30pm-6:30pm,McKee 0141,3,0,20,20,Lecture,Face to Face,Main Campus,Khalil Shafie Holighi,,,,
SRM614-001,Linear Models,23508,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0140,3,0,20,20,Lecture,Face to Face,Main Campus,Khalil Shafie Holighi,,,,
SRM629-001,Structural Eq Mod,22657,01/09/2023 05/07/2023,W,3:30pm-6:00pm,TBA,3,0,15,15,Lecture,Face to Face,Main Campus,Chia Lin Tsai,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
SRM637-010,Time Series Analysis,22932,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0145,3,0,20,20,Lecture,Face to Face,Main Campus,Khalil Shafie Holighi,,,,
SRM671-001,Grant Writing for Evaluators,22658,01/09/2023 05/07/2023,M W,10:00am-11:15am,TBA,3,0,20,20,Lecture,Face to Face,Main Campus,William Merchant,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
SRM673-001,Evaluation: Advanced Meth,22934,01/09/2023 05/07/2023,T R,1:00pm-2:15pm,McKee 0140,3,0,20,20,Lecture,Face to Face,Main Campus,William Merchant,,,,
SRM680-010,Intro to Qual Research,22241,01/09/2023 05/07/2023,T,5:00pm-7:30pm,TBA,3,0,15,15,Lecture,Face to Face,Main Campus,Veronica Richard,,,,
SRM683-003,Visual & Virtual Inquiry,22659,01/09/2023 05/07/2023,M,4:30pm-7:30pm,McKee 0141,3,0,20,20,Lecture,Face to Face,Main Campus,Randy Larkins,,,,
SRM687-001,Narrative Inquiry,22243,01/09/2023 05/07/2023,M,4:30pm-7:00pm,TBA,3,0,15,15,Lecture,Face to Face,Main Campus,Maria Lahman,,,,
SRM700-005,Adv Research Methods,22244,01/09/2023 05/07/2023,T,4:30pm-7:00pm,McKee 0423,3,0,20,20,Lecture,Face to Face,Main Campus,Randy Larkins,,,,
SRM731-001,Multivariate Analysis,22935,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee 0140,3,0,20,20,Lecture,Face to Face,Main Campus,Han Yu,,,,
SRM732-001,Research & Stat Consulting II,22662,02/13/2023 05/07/2023,M W,12:00pm-1:15pm,TBA,2,0,20,20,Lecture,Face to Face,Main Campus,William Merchant,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
STAT150-003,MA1-Intro Statist Analysis,20090,01/09/2023 05/07/2023,M W F,9:05am-9:55am,Ross Hall 2270,3,0,36,36,Lecture,Face to Face,Main Campus,Lee-Aloha Amor,ASRM,"LAX1, LC2",,
STAT150-005,MA1-Intro Statist Analysis,21381,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Ross Hall 2090,3,0,36,36,Lecture,Face to Face,Main Campus,Gabriel Owusu,ASRM,"LAX1, LC2",,
STAT150-006,MA1-Intro Statist Analysis,20271,01/09/2023 05/07/2023,M W F,12:20pm-1:10pm,Ross Hall 2270,3,0,36,36,Lecture,Face to Face,Main Campus,Oluwagbenga Agboola,ASRM,"LAX1, LC2",,
STAT150-008,MA1-Intro Statist Analysis,20273,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Ross Hall 2270,3,0,36,36,Lecture,Face to Face,Main Campus,Sheima A M A S Alameeri,ASRM,"LAX1, LC2",,
